,architecture,downstream,pre-training,number_of_samples,model_name,f1_macro_mean,f1_macro_std,f1_macro_count
112,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,100,knn,0.45303461279739465,0.015888594367687588,100
113,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,100,lr,0.453698601625314,0.014836567437033592,100
114,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,3,dc,0.01921708185053381,0.0,100
115,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,3,knn,0.275829401457748,0.03858239496500324,100
116,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,3,lr,0.29425242478567176,0.03886662946666046,100
117,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,30,dc,0.01921708185053381,0.0,100
118,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,30,knn,0.39210437146646454,0.023583362856203934,100
119,ViT_T16,Cassava,ImageNet_1k_SSL_Dino,30,lr,0.4155850003545446,0.02258413751293193,100
120,ViT_T16,Cassava,ImageNet_AugReg,1,dc,0.01921708185053381,0.0,100
121,ViT_T16,Cassava,ImageNet_AugReg,1,knn,0.1509590002437173,0.02805124610216769,100
122,ViT_T16,Cassava,ImageNet_AugReg,1,lr,0.1558400714844674,0.03125798248826063,100
123,ViT_T16,Cassava,ImageNet_AugReg,10,dc,0.01921708185053381,0.0,100
124,ViT_T16,Cassava,ImageNet_AugReg,10,knn,0.163740552531328,0.020682503119728923,100
125,ViT_T16,Cassava,ImageNet_AugReg,10,lr,0.23887866683355108,0.020693938094581543,100
126,ViT_T16,Cassava,ImageNet_AugReg,100,dc,0.01921708185053381,0.0,100
127,ViT_T16,Cassava,ImageNet_AugReg,100,knn,0.1695051894185846,0.017853850833208347,100
128,ViT_T16,Cassava,ImageNet_AugReg,100,lr,0.3330685817433872,0.012263373732984506,100
129,ViT_T16,Cassava,ImageNet_AugReg,3,dc,0.01921708185053381,0.0,100
130,ViT_T16,Cassava,ImageNet_AugReg,3,knn,0.1591156990410799,0.01900066282874276,100
131,ViT_T16,Cassava,ImageNet_AugReg,3,lr,0.18858498100126653,0.03003191993475287,100
